epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,32031.2,0.46351,0.35079,0.89475,0.98499,0.98261,0.99358,0.86894,0.58295,0.28411,0.92092,0.000259938,0.000259938,0.000259938
61,32563.4,0.47668,0.35424,0.89547,0.98102,0.98613,0.99391,0.86062,0.59795,0.28571,0.92995,0.00025375,0.00025375,0.00025375
62,33094,0.45789,0.34594,0.89129,0.98863,0.98172,0.99418,0.87183,0.57311,0.27473,0.91867,0.000247563,0.000247563,0.000247563
63,33624.7,0.45478,0.34144,0.88836,0.98649,0.98779,0.99432,0.85555,0.61308,0.28524,0.93475,0.000241375,0.000241375,0.000241375
64,34156.9,0.44953,0.34454,0.88806,0.98876,0.98625,0.99408,0.8619,0.60482,0.2802,0.93078,0.000235188,0.000235188,0.000235188
65,34687.3,0.46291,0.34166,0.89347,0.98586,0.9838,0.99428,0.87456,0.55049,0.27117,0.90398,0.000229,0.000229,0.000229
66,35218.6,0.44654,0.34084,0.88824,0.98305,0.98993,0.99422,0.85967,0.61411,0.28205,0.93546,0.000222813,0.000222813,0.000222813
67,35750.2,0.45094,0.34184,0.88782,0.98775,0.98617,0.99329,0.86247,0.59239,0.27461,0.92436,0.000216625,0.000216625,0.000216625
68,36296.5,0.44697,0.33826,0.88911,0.98729,0.98283,0.99417,0.85226,0.62938,0.2834,0.94452,0.000210437,0.000210437,0.000210437
69,36832.8,0.4458,0.33595,0.8871,0.99383,0.98937,0.99472,0.84196,0.67131,0.28611,0.96524,0.00020425,0.00020425,0.00020425
70,37370.7,0.44148,0.33246,0.88778,0.98421,0.98726,0.99398,0.84511,0.65282,0.28756,0.95773,0.000198063,0.000198063,0.000198063
71,37881.2,0.44684,0.33738,0.89124,0.98777,0.98454,0.99432,0.87028,0.59452,0.27205,0.93005,0.000191875,0.000191875,0.000191875
72,38391.5,0.4327,0.32833,0.88492,0.99269,0.99389,0.99481,0.83961,0.68657,0.28733,0.9736,0.000185688,0.000185688,0.000185688
73,38904,0.4342,0.33098,0.8849,0.98946,0.98731,0.99434,0.8754,0.5584,0.26126,0.90854,0.0001795,0.0001795,0.0001795
74,39420.6,0.43388,0.33022,0.88112,0.99564,0.98602,0.99472,0.86631,0.59475,0.26525,0.92482,0.000173313,0.000173313,0.000173313
75,39958.5,0.43165,0.32881,0.88342,0.99148,0.98543,0.99441,0.86595,0.60096,0.26849,0.92899,0.000167125,0.000167125,0.000167125
76,40471.9,0.42543,0.32267,0.88175,0.98456,0.9884,0.99433,0.85253,0.64423,0.2799,0.95267,0.000160938,0.000160938,0.000160938
77,40982.5,0.42515,0.32249,0.88096,0.99054,0.98931,0.99453,0.86452,0.5998,0.26602,0.93032,0.00015475,0.00015475,0.00015475
78,41491.1,0.41656,0.31977,0.87993,0.98887,0.98643,0.99385,0.86749,0.58407,0.26647,0.9199,0.000148563,0.000148563,0.000148563
79,42002.3,0.42423,0.32103,0.88081,0.99078,0.98444,0.99428,0.8764,0.56505,0.2588,0.91341,0.000142375,0.000142375,0.000142375
